# Genome	Taxonomy
GCA_002601265.1	k__Viruses|p__Phixviricota|c__Malgrandaviricetes|o__Petitvirales|f__Microviridae|g__Chlamydiamicrovirus|s__Chlamydiamicrovirus_Chp2
GCA_000849945.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Caliciviridae|g__Sapovirus|s__Sapporo_virus
GCA_000853825.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Caliciviridae|g__Sapovirus|s__Sapporo_virus
GCA_000850045.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Rhabdoviridae|g__Vesiculovirus|s__Vesiculovirus_indiana
GCA_002815995.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Rhabdoviridae|g__Vesiculovirus|s__Vesiculovirus_indiana
GCA_000850205.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Paramyxoviridae|g__Respirovirus|s__Human_respirovirus_3
GCA_002815255.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Paramyxoviridae|g__Respirovirus|s__Human_respirovirus_3
GCA_000850885.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Togaviridae|g__Alphavirus|s__Western_equine_encephalitis_virus
GCA_002889215.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Togaviridae|g__Alphavirus|s__Western_equine_encephalitis_virus
GCA_000851625.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Caliciviridae|g__Nebovirus|s__Newbury_1_virus
GCA_000867125.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Caliciviridae|g__Nebovirus|s__Newbury_1_virus
GCA_000851745.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Ortervirales|f__Retroviridae|g__Lentivirus|s__Simian_immunodeficiency_virus
GCA_003098215.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Ortervirales|f__Retroviridae|g__Lentivirus|s__Simian_immunodeficiency_virus
GCA_000851765.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Closteroviridae|g__Closterovirus|s__Grapevine_leafroll_associated_virus_2
GCA_000864185.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Closteroviridae|g__Closterovirus|s__Grapevine_leafroll_associated_virus_2
GCA_000852245.1	k__Viruses|p__Duplornaviricota|c__Chrymotiviricetes|o__Ghabrivirales|f__Totiviridae|g__Trichomonasvirus|s__Trichomonas_vaginalis_virus_1
GCA_001271095.1	k__Viruses|p__Duplornaviricota|c__Chrymotiviricetes|o__Ghabrivirales|f__Totiviridae|g__Trichomonasvirus|s__Trichomonas_vaginalis_virus_1
GCA_000852845.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Sobelivirales|f__Solemoviridae|g__Enamovirus|s__Pea_enation_mosaic_virus_1
GCA_002826625.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Sobelivirales|f__Solemoviridae|g__Enamovirus|s__Pea_enation_mosaic_virus_1
GCA_000853105.1	k__Viruses|p__Pisuviricota|c__Duplopiviricetes|o__Durnavirales|f__Amalgaviridae|g__Zybavirus|s__Zygosaccharomyces_bailii_virus_Z
GCA_004787635.1	k__Viruses|p__Pisuviricota|c__Duplopiviricetes|o__Durnavirales|f__Amalgaviridae|g__Zybavirus|s__Zygosaccharomyces_bailii_virus_Z
GCA_000853345.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Caliciviridae|g__Vesivirus|s__Feline_calicivirus
GCA_008767155.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Caliciviridae|g__Vesivirus|s__Feline_calicivirus
GCA_000853505.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Nidovirales|f__Coronaviridae|g__Alphacoronavirus|s__Human_coronavirus_229E
GCA_001500975.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Nidovirales|f__Coronaviridae|g__Alphacoronavirus|s__Human_coronavirus_229E
GCA_000853805.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Kobuvirus|s__Aichivirus_B
GCA_008777065.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Kobuvirus|s__Aichivirus_B
GCA_000854185.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Murine_leukemia_virus
GCA_000859085.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Murine_leukemia_virus
GCA_000855085.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Sobelivirales|f__Solemoviridae|g__Sobemovirus|s__Cocksfoot_mottle_virus
GCA_021461735.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Sobelivirales|f__Solemoviridae|g__Sobemovirus|s__Cocksfoot_mottle_virus
GCA_000855165.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Stellavirales|f__Astroviridae|g__Mamastrovirus|s__Mamastrovirus_13
GCA_900155505.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Stellavirales|f__Astroviridae|g__Mamastrovirus|s__Mamastrovirus_13
GCA_000855185.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Tymovirales|f__Alphaflexiviridae|g__Potexvirus|s__Asparagus_virus_3
GCA_000879175.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Tymovirales|f__Alphaflexiviridae|g__Potexvirus|s__Asparagus_virus_3
GCA_000855545.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Pneumoviridae|g__Orthopneumovirus|s__Human_orthopneumovirus
GCA_002815475.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Pneumoviridae|g__Orthopneumovirus|s__Human_orthopneumovirus
GCA_000855625.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Paramyxoviridae|g__Respirovirus|s__Murine_respirovirus
GCA_004786315.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Paramyxoviridae|g__Respirovirus|s__Murine_respirovirus
GCA_000855805.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Togaviridae|g__Alphavirus|s__Getah_virus
GCA_002888735.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Togaviridae|g__Alphavirus|s__Getah_virus
GCA_000855905.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Sobelivirales|f__Solemoviridae|g__Polerovirus|s__Turnip_yellows_virus
GCA_000894875.2	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Sobelivirales|f__Solemoviridae|g__Polerovirus|s__Turnip_yellows_virus
GCA_000855985.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Pestivirus|s__Pestivirus_B
GCA_003029635.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Pestivirus|s__Pestivirus_B
GCA_000856025.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Nidovirales|f__Coronaviridae|g__Alphacoronavirus|s__Alphacoronavirus_1
GCA_001501415.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Nidovirales|f__Coronaviridae|g__Alphacoronavirus|s__Alphacoronavirus_1
GCA_000856165.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Sapelovirus|s__Sapelovirus_B
GCA_008797355.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Sapelovirus|s__Sapelovirus_B
GCA_000856205.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Stellavirales|f__Astroviridae|g__Avastrovirus|s__Avastrovirus_3
GCA_000883675.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Stellavirales|f__Astroviridae|g__Avastrovirus|s__Avastrovirus_3
GCA_003098515.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Ortervirales|f__Retroviridae|g__Lentivirus|s__Human_immunodeficiency_virus_2
GCA_003100555.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Ortervirales|f__Retroviridae|g__Lentivirus|s__Human_immunodeficiency_virus_2
GCA_000856725.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Sobelivirales|f__Solemoviridae|g__Polerovirus|s__Potato_leafroll_virus
GCA_021461725.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Sobelivirales|f__Solemoviridae|g__Polerovirus|s__Potato_leafroll_virus
GCA_006458385.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus
GCA_006458425.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Monkeypox_virus
GCA_000857245.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Patatavirales|f__Potyviridae|g__Potyvirus|s__Bean_common_mosaic_virus
GCA_002828245.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Patatavirales|f__Potyviridae|g__Potyvirus|s__Bean_common_mosaic_virus
GCA_000857265.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Togaviridae|g__Alphavirus|s__Salmon_pancreas_disease_virus
GCA_000862545.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Togaviridae|g__Alphavirus|s__Salmon_pancreas_disease_virus
GCA_000857325.2	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Filoviridae|g__Marburgvirus|s__Marburg_marburgvirus
GCA_000943645.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Filoviridae|g__Marburgvirus|s__Marburg_marburgvirus
GCA_000857565.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Pneumoviridae|g__Orthopneumovirus|s__Murine_orthopneumovirus
GCA_000926375.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Pneumoviridae|g__Orthopneumovirus|s__Murine_orthopneumovirus
GCA_000857805.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Teschovirus|s__Teschovirus_A
GCA_008785925.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Teschovirus|s__Teschovirus_A
GCA_000858045.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Flavivirus|s__Royal_Farm_virus
GCA_002820685.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Flavivirus|s__Royal_Farm_virus
GCA_000858225.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Omikronpapillomavirus|s__Omikronpapillomavirus_1
GCA_000898875.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Omikronpapillomavirus|s__Omikronpapillomavirus_1
GCA_000858285.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Varicellovirus|s__Human_alphaherpesvirus_3
GCA_027941035.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Varicellovirus|s__Human_alphaherpesvirus_3
GCA_000858325.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Erbovirus|s__Erbovirus_A
GCA_008800195.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Erbovirus|s__Erbovirus_A
GCA_027936545.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Simplexvirus|s__Human_alphaherpesvirus_2
GCA_027937255.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Simplexvirus|s__Human_alphaherpesvirus_2
GCA_003032865.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Asfuvirales|f__Asfarviridae|g__Asfivirus|s__African_swine_fever_virus
GCA_003032885.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Asfuvirales|f__Asfarviridae|g__Asfivirus|s__African_swine_fever_virus
GCA_000859625.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Rhabdoviridae|g__Lyssavirus|s__Lyssavirus_rabies
GCA_900079005.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Rhabdoviridae|g__Lyssavirus|s__Lyssavirus_rabies
GCA_008792765.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Muromegalovirus|s__Murid_betaherpesvirus_1
GCA_027929925.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Muromegalovirus|s__Murid_betaherpesvirus_1
GCA_000859925.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Aphthovirus|s__Equine_rhinitis_A_virus
GCA_002816535.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Aphthovirus|s__Equine_rhinitis_A_virus
GCA_002847095.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Simplexvirus|s__Human_alphaherpesvirus_1
GCA_002847105.1	k__Viruses|p__Peploviricota|c__Herviviricetes|o__Herpesvirales|f__Herpesviridae|g__Simplexvirus|s__Human_alphaherpesvirus_1
GCA_006451575.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Vaccinia_virus
GCA_006457925.1	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Orthopoxvirus|s__Vaccinia_virus
GCA_000860485.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Flavivirus|s__Powassan_virus
GCA_004786555.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Flavivirus|s__Powassan_virus
GCA_000860505.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Hepatovirus|s__Hepatovirus_A
GCA_008776015.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Hepatovirus|s__Hepatovirus_A
GCA_000860545.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Togaviridae|g__Alphavirus|s__Sindbis_virus
GCA_002888835.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Togaviridae|g__Alphavirus|s__Sindbis_virus
GCA_000860745.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Sobelivirales|f__Solemoviridae|g__Sobemovirus|s__Southern_bean_mosaic_virus
GCA_002830905.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Sobelivirales|f__Solemoviridae|g__Sobemovirus|s__Southern_bean_mosaic_virus
GCA_000860825.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Sobelivirales|f__Solemoviridae|g__Sobemovirus|s__Ryegrass_mottle_virus
GCA_002830885.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Sobelivirales|f__Solemoviridae|g__Sobemovirus|s__Ryegrass_mottle_virus
GCA_000860885.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Patatavirales|f__Potyviridae|g__Potyvirus|s__Dasheen_mosaic_virus
GCA_002828445.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Patatavirales|f__Potyviridae|g__Potyvirus|s__Dasheen_mosaic_virus
GCA_000860945.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Parechovirus|s__Parechovirus_B
GCA_008767215.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Parechovirus|s__Parechovirus_B
GCA_000861085.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Flavivirus|s__West_Nile_virus
GCA_000875385.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Flavivirus|s__West_Nile_virus
GCA_000861105.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Hepelivirales|f__Hepeviridae|g__Paslahepevirus|s__Paslahepevirus_balayani
GCA_002826225.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Hepelivirales|f__Hepeviridae|g__Paslahepevirus|s__Paslahepevirus_balayani
GCA_003102335.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Ortervirales|f__Retroviridae|g__Deltaretrovirus|s__Primate_T_lymphotropic_virus_1
GCA_003104295.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Ortervirales|f__Retroviridae|g__Deltaretrovirus|s__Primate_T_lymphotropic_virus_1
GCA_000861165.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Enterovirus_C
GCA_003108485.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Enterovirus_C
GCA_000861185.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Cardiovirus|s__Cardiovirus_B
GCA_008767195.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Cardiovirus|s__Cardiovirus_B
GCA_000861205.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Enterovirus_D
GCA_002816725.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Enterovirus_D
GCA_000861245.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Pestivirus|s__Pestivirus_A
GCA_013088505.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Pestivirus|s__Pestivirus_A
GCA_000861265.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Rhinovirus_B
GCA_002816855.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Rhinovirus_B
GCA_000861325.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Enterovirus_B
GCA_002816685.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Enterovirus_B
GCA_000861405.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Sobelivirales|f__Solemoviridae|g__Sobemovirus|s__Lucerne_transient_streak_virus
GCA_002830865.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Sobelivirales|f__Solemoviridae|g__Sobemovirus|s__Lucerne_transient_streak_virus
GCA_000861505.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Parechovirus|s__Parechovirus_A
GCA_002817305.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Parechovirus|s__Parechovirus_A
GCA_000861565.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Enterovirus_H
GCA_002816765.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Enterovirus_H
GCA_000861585.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Patatavirales|f__Potyviridae|g__Potyvirus|s__Potato_virus_A
GCA_002987615.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Patatavirales|f__Potyviridae|g__Potyvirus|s__Potato_virus_A
GCA_000861825.2	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Blubervirales|f__Hepadnaviridae|g__Orthohepadnavirus|s__Hepatitis_B_virus
GCA_003033035.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Blubervirales|f__Hepadnaviridae|g__Orthohepadnavirus|s__Hepatitis_B_virus
GCA_000861845.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Hepacivirus|s__Hepacivirus_C
GCA_000871165.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Hepacivirus|s__Hepacivirus_C
GCA_000861885.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Kobuvirus|s__Aichivirus_A
GCA_002817065.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Kobuvirus|s__Aichivirus_A
GCA_000861905.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Enterovirus_A
GCA_001684625.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Enterovirus_A
GCA_000861925.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Alphapapillomavirus|s__Alphapapillomavirus_8
GCA_003177575.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Alphapapillomavirus|s__Alphapapillomavirus_8
GCA_000861945.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Alphapapillomavirus|s__Alphapapillomavirus_10
GCA_003177615.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Alphapapillomavirus|s__Alphapapillomavirus_10
GCA_000861965.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Blubervirales|f__Hepadnaviridae|g__Avihepadnavirus|s__Heron_hepatitis_B_virus
GCA_003047495.1	k__Viruses|p__Artverviricota|c__Revtraviricetes|o__Blubervirales|f__Hepadnaviridae|g__Avihepadnavirus|s__Heron_hepatitis_B_virus
GCA_000862005.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Pegivirus|s__Pegivirus_C
GCA_002821145.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Pegivirus|s__Pegivirus_C
GCA_000862045.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Patatavirales|f__Potyviridae|g__Potyvirus|s__Papaya_ringspot_virus
GCA_002828705.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Patatavirales|f__Potyviridae|g__Potyvirus|s__Papaya_ringspot_virus
GCA_000862085.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Patatavirales|f__Potyviridae|g__Potyvirus|s__Plum_pox_virus
GCA_002828785.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Patatavirales|f__Potyviridae|g__Potyvirus|s__Plum_pox_virus
GCA_000862105.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Togaviridae|g__Alphavirus|s__Venezuelan_equine_encephalitis_virus
GCA_002888755.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Togaviridae|g__Alphavirus|s__Venezuelan_equine_encephalitis_virus
GCA_000862125.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Flavivirus|s__Dengue_virus
GCA_000865065.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Flavivirus|s__Dengue_virus
GCA_000862165.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Togaviridae|g__Alphavirus|s__Ross_River_virus
GCA_002889255.1	k__Viruses|p__Kitrinoviricota|c__Alsuviricetes|o__Martellivirales|f__Togaviridae|g__Alphavirus|s__Ross_River_virus
GCA_000862245.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Rhinovirus_A
GCA_002816835.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Rhinovirus_A
GCA_000862345.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Nidovirales|f__Coronaviridae|g__Betacoronavirus|s__Murine_coronavirus
GCA_000886515.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Nidovirales|f__Coronaviridae|g__Betacoronavirus|s__Murine_coronavirus
GCA_000862405.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Hepacivirus|s__Hepacivirus_B
GCA_002820785.1	k__Viruses|p__Kitrinoviricota|c__Flasuviricetes|o__Amarillovirales|f__Flaviviridae|g__Hepacivirus|s__Hepacivirus_B
GCA_000862465.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Patatavirales|f__Potyviridae|g__Potyvirus|s__Soybean_mosaic_virus
GCA_002987665.1	k__Viruses|p__Pisuviricota|c__Stelpaviricetes|o__Patatavirales|f__Potyviridae|g__Potyvirus|s__Soybean_mosaic_virus
GCA_000862505.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Nidovirales|f__Coronaviridae|g__Betacoronavirus|s__Betacoronavirus_1
GCA_003972325.1	k__Viruses|p__Pisuviricota|c__Pisoniviricetes|o__Nidovirales|f__Coronaviridae|g__Betacoronavirus|s__Betacoronavirus_1
GCA_000862685.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Alphapapillomavirus|s__Alphapapillomavirus_14
GCA_002826825.1	k__Viruses|p__Cossaviricota|c__Papovaviricetes|o__Zurhausenvirales|f__Papillomaviridae|g__Alphapapillomavirus|s__Alphapapillomavirus_14
GCA_000862725.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Paramyxoviridae|g__Orthoavulavirus|s__Avian_orthoavulavirus_1
GCA_002834085.1	k__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Paramyxoviridae|g__Orthoavulavirus|s__Avian_orthoavulavirus_1
